question,answer,type
什么是定义？,2. 合约 ................................................................................................................. 6...（详见条款1）,定义解释
什么是管辖法律？,4. 保单年度及周年日 ....................................................................................... 6...（详见条款3）,定义解释
什么是货币？,6. 缴付保费 ........................................................................................................ 6...（详见条款5）,定义解释
什么是受益人？,8. 保单所有权 .................................................................................................... 8...（详见条款7）,定义解释
什么是保单转让？,10. 身故赔偿 ........................................................................................................ 8...（详见条款9）,定义解释
什么是意外身故赔偿？,12. 年龄及性别 .................................................................................................... 9...（详见条款11）,定义解释
什么是自杀？,14. 不可异议条文 ............................................................................................... 9...（详见条款13）,定义解释
什么是身故赔偿或退保金额？,16. 收款方式选择 ............................................................................................... 9...（详见条款15）,定义解释
什么是终期红利？,18. 终期红利锁定权益 ..................................................................................... 10...（详见条款17）,定义解释
什么是累积已锁定终期红利？,20. 现金价值 ...................................................................................................... 11...（详见条款19）,定义解释
什么是货币转换权益？,22. 保单复效 ...................................................................................................... 13...（详见条款21）,定义解释
什么是保单贷款？,24. 自动贷款代缴保费 ..................................................................................... 13...（详见条款23）,定义解释
什么是贷款规定？,26. 终止保单 ...................................................................................................... 14...（详见条款25）,定义解释
什么是索偿通知及证明？,28. 意外身故赔偿不受保项目 ........................................................................ 15...（详见条款27）,定义解释
什么是第三者权利？,"更改受保人条款
保费假期条款
批注（如适用）
附加保障条款（如适用）
保单投保申请书副本
备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。
第2页
2-MGL-RP-SC (05/2022)

---

## 第 3 页

受保人 xxx 年龄 xxx...（详见条款29）",定义解释
如何办理第三者权利？,更改受保人条款 保费假期条款 批注（如适用） 附加保障条款（如适用） 保单投保申请书副本 备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。 第2页 2-MGL-RP-SC (05/2022) --- ## 第 3 页 受保人 xxx 年龄 xxx 保单编号 xxx 性别 xxx 保单生效日 xxx 收费标准 xxx 保单签发日 xxx 身份证号码 x,办理流程
什么是定义？,"以下为阁下保单中具有特定含义的若干用词，供阁下阅读保单时作参考。其他用词可能在阁下保单内文另作定义。
「意外身故」指受保人在本保单生效期间直接因无法预见和意料之外的事件且并无涉及所有其他因素而导致的身体受伤发
生后的一百八十天内身故。
「意外身故赔偿」的涵义在「意外身故赔偿」条款一章中界定。
「累积...（详见条款1）",定义解释
什么是合约？,"本保单、投保申请书、健康证明文件和任何作为受保资格证明的书面说明和答复，均为合约构成部分。
仅本公司的首席行政总监方可代表本公司仅以书面形式更改、修订或删除本保单内任何条款。
除上述人士以外，由任何代理人或人士作出的或向任何代理人或人士作出的任何承诺或声明均对本公司不具约束力。...（详见条款2）",定义解释
如何办理合约？,本保单、投保申请书、健康证明文件和任何作为受保资格证明的书面说明和答复，均为合约构成部分。 仅本公司的首席行政总监方可代表本公司仅以书面形式更改、修订或删除本保单内任何条款。 除上述人士以外，由任何代理人或人士作出的或向任何代理人或人士作出的任何承诺或声明均对本公司不具约束力。,办理流程
什么是管辖法律？,"本保单如果1) 在香港特别行政区签发，则需按香港特别行政区法律加以管辖和阐释;如果2) 在澳门特别行政区签发，则
需按澳门特别行政区法律加以管辖和阐释。...（详见条款3）",定义解释
什么是保单年度及周年日？,"保单的年份、月份和周年日将根据本保单第3页或最新批注（如有）所示的保单生效日（即首个保单年度和首个保单月份
的首日）厘定。首个保单周年日即第二个保单周年的首日。...（详见条款4）",定义解释
什么是货币？,详情见本保单第3页或最新批注（如有）内「货币」一项。...（详见条款5）,定义解释
